"Raynald-Westerling	Arya-Stark	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Robin-Flint	Robb-Stark
"Raynald-Westerling	Rickon-Stark	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Yoren	Robb-Stark
"Raynald-Westerling	Brienne-of-Tarth	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Aegon-Frey-(son-of-Stevron)	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Rollam-Westerling	Robb-Stark
Raynald-Westerling	Eon-Hunter	Catelyn-Stark
"Raynald-Westerling	Rodrik-Cassel	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Roslin-Frey	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Nan	Robb-Stark
"Raynald-Westerling	Varys	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Lothar-Frey	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Robert-Arryn	Catelyn-Stark
"Raynald-Westerling	Marq-Piper	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Sansa-Stark	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Vardis-Egen	Catelyn-Stark
"Raynald-Westerling	Hoster-Tully	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Jon-Umber-(Smalljon)	Robb-Stark
Raynald-Westerling	Masha-Heddle	Catelyn-Stark
"Raynald-Westerling	Joffrey-Baratheon	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Bronn	Catelyn-Stark
"Raynald-Westerling	Jon-Snow	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Robar-Royce	Catelyn-Stark
Raynald-Westerling	Benjen-Stark	Robb-Stark
"Raynald-Westerling	Elmar-Frey	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Cersei-Lannister	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Stevron-Frey	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Wendel-Manderly	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Cleos-Frey	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Jon-Arryn	Catelyn-Stark
Raynald-Westerling	Perwyn-Frey	Robb-Stark
Raynald-Westerling	Samwell-Tarly	Robb-Stark
"Raynald-Westerling	Stafford-Lannister	Robb-Stark,Catelyn-Stark"
"Raynald-Westerling	Jeyne-Westerling	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Sybell-Spicer	Robb-Stark
Raynald-Westerling	Myrcella-Baratheon	Robb-Stark
"Raynald-Westerling	Balon-Greyjoy	Robb-Stark,Catelyn-Stark"
Raynald-Westerling	Hullen	Robb-Stark
"Raynald-Westerling	Tywin-Lannister	Robb-Stark,Catelyn-Stark"
Qyburn	Gerold-Hightower	Jaime-Lannister
"Qyburn	Robert-Baratheon	Jaime-Lannister,Brienne-of-Tarth"
"Qyburn	Walton	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
"Qyburn	Tyrion-Lannister	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
Qyburn	Boros-Blount	Jaime-Lannister
Qyburn	Walder-Frey	Roose-Bolton
Qyburn	Tommen-Baratheon	Jaime-Lannister
"Qyburn	Robb-Stark	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
Qyburn	Ramsay-Snow	Roose-Bolton
Qyburn	Osmund-Kettleblack	Jaime-Lannister
Qyburn	Jon-Umber-(Greatjon)	Roose-Bolton
Qyburn	Eddard-Stark	Jaime-Lannister
Qyburn	Addam-Marbrand	Jaime-Lannister
Qyburn	Robin-Ryger	Jaime-Lannister
Qyburn	Selwyn-Tarth	Brienne-of-Tarth
Qyburn	Ryman-Frey	Roose-Bolton
Qyburn	Meryn-Trant	Jaime-Lannister
Qyburn	Brynden-Tully	Jaime-Lannister
Qyburn	Rorge	Jaime-Lannister
"Qyburn	Jaime-Lannister	Roose-Bolton,Brienne-of-Tarth,Walton"
"Qyburn	Catelyn-Stark	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
Qyburn	Emmon-Cuy	Brienne-of-Tarth
Qyburn	Vyman	Brienne-of-Tarth
Qyburn	Theon-Greyjoy	Jaime-Lannister
Qyburn	Urswyck	Jaime-Lannister
Qyburn	Balon-Swann	Jaime-Lannister
"Qyburn	Edmure-Tully	Jaime-Lannister,Brienne-of-Tarth"
"Qyburn	Petyr-Baelish	Jaime-Lannister,Roose-Bolton"
"Qyburn	Renly-Baratheon	Jaime-Lannister,Brienne-of-Tarth"
Qyburn	Gregor-Clegane	Jaime-Lannister
Qyburn	Tysha	Jaime-Lannister
"Qyburn	Galbart-Glover	Jaime-Lannister,Roose-Bolton"
"Qyburn	Stannis-Baratheon	Jaime-Lannister,Brienne-of-Tarth"
Qyburn	Lysa-Arryn	Jaime-Lannister
"Qyburn	Aerys-II-Targaryen	Jaime-Lannister,Brienne-of-Tarth"
"Qyburn	Roose-Bolton	Jaime-Lannister,Brienne-of-Tarth,Walton"
"Qyburn	Loras-Tyrell	Jaime-Lannister,Brienne-of-Tarth"
"Qyburn	Rickard-Karstark	Jaime-Lannister,Roose-Bolton"
Qyburn	Jory-Cassel	Jaime-Lannister
Qyburn	Thoros-of-Myr	Jaime-Lannister
Qyburn	Kevan-Lannister	Jaime-Lannister
"Qyburn	Arya-Stark	Jaime-Lannister,Roose-Bolton"
Qyburn	Oberyn-Martell	Jaime-Lannister
Qyburn	Sandor-Clegane	Jaime-Lannister
"Qyburn	Amory-Lorch	Jaime-Lannister,Roose-Bolton"
"Qyburn	Brienne-of-Tarth	Jaime-Lannister,Roose-Bolton,Walton"
Qyburn	Elia-Martell	Jaime-Lannister
"Qyburn	Rodrik-Cassel	Jaime-Lannister,Roose-Bolton"
Qyburn	Varys	Jaime-Lannister
Qyburn	Lothar-Frey	Roose-Bolton
"Qyburn	Sansa-Stark	Jaime-Lannister,Brienne-of-Tarth"
Qyburn	Hoster-Tully	Jaime-Lannister
Qyburn	Joffrey-Baratheon	Jaime-Lannister
Qyburn	Lem	Jaime-Lannister
"Qyburn	Vargo-Hoat	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
Qyburn	Jon-Snow	Jaime-Lannister
Qyburn	Robar-Royce	Brienne-of-Tarth
"Qyburn	Elmar-Frey	Jaime-Lannister,Roose-Bolton,Brienne-of-Tarth"
"Qyburn	Cersei-Lannister	Jaime-Lannister,Brienne-of-Tarth"
Qyburn	Wyl-(guard)	Jaime-Lannister
Qyburn	Aemon-Targaryen-(Dragonknight)	Jaime-Lannister
Qyburn	Nage	Walton
Qyburn	Barristan-Selmy	Jaime-Lannister
Qyburn	Shagwell	Jaime-Lannister
Qyburn	Mandon-Moore	Jaime-Lannister
"Qyburn	Cleos-Frey	Jaime-Lannister,Brienne-of-Tarth"
Qyburn	Jon-Arryn	Jaime-Lannister
Qyburn	Stafford-Lannister	Jaime-Lannister
"Qyburn	Tywin-Lannister	Jaime-Lannister,Roose-Bolton"
Qyburn	Harys-Swyft	Jaime-Lannister
Dalla	Robert-Baratheon	Jon-Snow
Dalla	Matthar	Jon-Snow
Dalla	Zei	Jon-Snow
Dalla	Tyrion-Lannister	Jon-Snow
Dalla	Jarman-Buckwell	Jon-Snow
Dalla	Robb-Stark	Jon-Snow
"Dalla	Varamyr	Mance-Rayder,Jon-Snow"
Dalla	Cotter-Pyke	Jon-Snow
Dalla	Bran-Stark	Jon-Snow
"Dalla	Donal-Noye	Mance-Rayder,Jon-Snow"
Dalla	Ebben	Jon-Snow
Dalla	Eddard-Stark	Jon-Snow
"Dalla	Pypar	Mance-Rayder,Jon-Snow"
Dalla	Clydas	Jon-Snow
Dalla	Bowen-Marsh	Jon-Snow
Dalla	Errok	Jon-Snow
"Dalla	Gilly	Mance-Rayder,Jon-Snow"
Dalla	Jaime-Lannister	Jon-Snow
Dalla	Catelyn-Stark	Jon-Snow
Dalla	Theon-Greyjoy	Jon-Snow
Dalla	Arson	Jon-Snow
Dalla	Ryk	Jon-Snow
Dalla	Kegs	Jon-Snow
Dalla	Rast	Jon-Snow
"Dalla	Jeor-Mormont	Mance-Rayder,Jon-Snow"
Dalla	Stannis-Baratheon	Jon-Snow
Dalla	Jaremy-Rykker	Jon-Snow
"Dalla	Thoren-Smallwood	Mance-Rayder,Jon-Snow"
"Dalla	Jarl	Mance-Rayder,Val,Jon-Snow"
