Ryman-Frey	0,0,29,29
Ryk	0,0,29,29
Cohollo	29,0,0,29
Doran-Martell	0,11,17,28
Donella-Hornwood	0,28,0,28
Vayon-Poole	28,0,0,28
Wendel-Manderly	6,16,6,28
Willis-Wode	28,0,0,28
Weasel	0,27,0,27
Paxter-Redwyne	3,3,21,27
Ebben	0,26,0,26
Rast	26,0,0,26
Galbart-Glover	23,0,3,26
Stonesnake	0,26,0,26
Tansy	0,0,25,25
Mikken	0,25,0,25
Mero	0,0,24,24
Pyat-Pree	0,24,0,24
Arthur-Dayne	4,0,20,24
Dagmer	0,23,0,23
Vyman	0,10,13,23
Dalla	0,0,23,23
Ballabar	0,15,8,23
Xaro-Xhoan-Daxos	0,23,0,23
Spare-Boot	0,0,23,23
Maege-Mormont	8,0,15,23
Hareth-(Moles-Town)	0,0,22,22
Aeron-Greyjoy	0,22,0,22
Bryce-Caron	0,21,0,21
Quaro	21,0,0,21
Megga-Tyrell	0,0,20,20
Mord	20,0,0,20
Conn	20,0,0,20
Hullen	20,0,0,20
Alebelly	0,19,0,19
Stevron-Frey	8,0,11,19
Lamprey	0,0,19,19
Kraznys-mo-Nakloz	0,0,19,19
Ben-Plumm	0,0,18,18
Ogo	18,0,0,18
Grey-Worm	0,0,18,18
Aegon-Frey-(son-of-Stevron)	0,0,18,18
Bedwyck	0,0,18,18
Woth	0,18,0,18
Wyman-Manderly	0,18,0,18
Elinor-Tyrell	0,0,18,18
Lorren	0,17,0,17
Patchface	0,14,3,17
Mully	0,0,17,17
Alayaya	0,6,10,16
Chella	5,11,0,16
Cayn	16,0,0,16
Harren-Hoare	0,16,0,16
Robett-Glover	0,6,10,16
Benfred-Tallhart	0,16,0,16
Varamyr	0,0,16,16
High-Septon-(Tyrions)	0,4,12,16
Chiggen	16,0,0,16
Arys-Oakheart	3,13,0,16
Olyvar-Frey	0,4,12,16
Bannen	0,0,16,16
Tysha	0,10,6,16
Raynald-Westerling	0,0,16,16
Grigg	0,0,15,15
Alla-Tyrell	0,0,15,15
Utherydes-Wayn	0,6,9,15
Sharna	0,0,15,15
Willem-Lannister	0,0,15,15
Wyl-(guard)	15,0,0,15
Ottyn-Wythers	0,9,6,15
Ellaria-Sand	0,0,15,15
Porridge	0,0,14,14
Errok	0,0,14,14
Stafford-Lannister	0,14,0,14
Jarman-Buckwell	0,14,0,14
Emmon-Cuy	0,14,0,14
Lothor-Brune	0,0,14,14
Symon-Silver-Tongue	0,0,13,13
Aggar	0,13,0,13
Dalbridge	0,13,0,13
Allard-Seaworth	0,13,0,13
Robar-Royce	0,13,0,13
Tytos-Blackwood	10,0,3,13
Helman-Tallhart	0,3,10,13
Jason-Mallister	0,4,8,12
Raymun-Darry	12,0,0,12
Lewyn-Martell	0,0,12,12
High-Septon-(fat_one)	8,4,0,12
Robin-Ryger	0,0,12,12
Cley-Cerwyn	0,12,0,12
Oznak-zo-Pahl	0,0,12,12
Guyard-Morrigen	0,12,0,12
Khorane-Sathmantes	0,0,11,11
Florian-the-Fool	0,11,0,11
Pono	0,11,0,11
Torrhen-Karstark	11,0,0,11
Dacey-Mormont	0,0,11,11
Monford-Velaryon	0,11,0,11
Jyck	11,0,0,11
Beth-Cassel	0,11,0,11
Albett	11,0,0,11
Urswyck	0,0,11,11
Andrew-Estermont	0,0,11,11
Karyl-Vance	11,0,0,11
Leobald-Tallhart	0,11,0,11
Dirk	0,0,10,10
Stygg	0,10,0,10
Walder-Frey-(son-of-Jammos)	0,10,0,10
Chataya	0,6,4,10
Dolf	7,3,0,10
Morrec	10,0,0,10
Cutjack	0,10,0,10
Amabel	0,10,0,10
Butterbumps	0,0,10,10
Horas-Redwyne	0,10,0,10
Jon-Umber-(Smalljon)	0,0,9,9
Clubfoot-Karl	0,0,9,9
Prendahl-na-Ghezn	0,0,9,9
Mag-Mar-Tun-Doh-Weg	0,0,9,9
Hayhead	0,9,0,9
Oswell-Whent	3,0,6,9
Orell	0,0,9,9
Danwell-Frey	9,0,0,9
Sallor	0,0,9,9
Jack-Bulwer	0,0,9,9
Cleon	0,0,9,9
Eon-Hunter	9,0,0,9
Perwyn-Frey	0,6,3,9
Colen-of-Greenpools	0,9,0,9
Robin-Flint	0,0,9,9
Squint	0,9,0,9
Oswell-Kettleblack	0,0,9,9
Mya-Stone	9,0,0,9
Vylarr	0,9,0,9
Baelor-I-Targaryen	0,0,9,9
Hallyne	0,8,0,8
Moon-Boy	0,5,3,8
Heward	8,0,0,8
Zollo	0,0,8,8
Dick-Follard	0,0,8,8
Shagwell	0,0,8,8
Weeper	0,0,8,8
Ghael	0,0,8,8
Petyr-Frey	0,0,8,8
Koss	0,8,0,8
Brella	0,0,8,8
Gariss	0,8,0,8
Jonquil	0,8,0,8
Gunthor-son-of-Gurn	7,0,0,7
Rhaenys-Targaryen	0,7,0,7
Rickard-Stark	7,0,0,7
Gynir	0,7,0,7
Hobber-Redwyne	0,7,0,7
Jalabhar-Xho	0,0,7,7
Smiling-Knight	0,0,7,7
Allar-Deem	0,7,0,7
Harra	0,7,0,7
Victarion-Greyjoy	0,7,0,7
Desmond	7,0,0,7
Tobho-Mott	7,0,0,7
Osney-Kettleblack	0,7,0,7
Husband	0,0,7,7
Chayle	0,7,0,7
Colemon	7,0,0,7
Joseth	7,0,0,7
Rollam-Westerling	0,0,7,7
Reek	0,7,0,7
Osfryd-Kettleblack	0,7,0,7
Maegor-I-Targaryen	4,0,3,7
Ravella-Swann	0,0,7,7
Stiv	7,0,0,7
Coldhands	0,0,7,7
Guncer-Sunglass	0,0,7,7
Walder-Rivers	0,0,7,7
Hosteen-Frey	6,0,0,6
Jommo	6,0,0,6
Steffon-Baratheon	0,6,0,6
Gorne	0,0,6,6
Martyn-Lannister	0,0,6,6
Torrhen-Stark	0,0,6,6
Jared-Frey	6,0,0,6
Big-Boil	0,0,6,6
Daryn-Hornwood	6,0,0,6
Merrett-Frey	0,0,6,6
Tion-Frey	0,0,6,6
Jonothor-Darry	0,0,6,6
Drennan	0,6,0,6
Sybell-Spicer	0,0,6,6
Aenys-Frey	0,6,0,6
Preston-Greenfield	0,6,0,6
Visenya-Targaryen	0,6,0,6
Eldon-Estermont	0,6,0,6
Rhaella-Targaryen	0,0,6,6
Gendel	0,0,6,6
Alerie-Hightower	0,0,6,6
Urzen	0,6,0,6
Werlag	0,6,0,6
Dareon	6,0,0,6
Gawen-Westerling	0,0,6,6
Groleo	0,0,6,6
Howland-Reed	3,3,0,6
Nestor-Royce	6,0,0,6
Farlen	0,6,0,6
Coratt	5,0,0,5
Quaithe	0,5,0,5
Joss	5,0,0,5
Eroeh	5,0,0,5
Othor	5,0,0,5
Jack-Be-Lucky	0,0,5,5
Kurleket	5,0,0,5
Murch	0,5,0,5
Rhaego	5,0,0,5
Rolph-Spicer	0,0,5,5
Ardrian-Celtigar	0,5,0,5
Masha-Heddle	5,0,0,5
Bael-the-Bard	0,5,0,5
Rhaegel-Targaryen	0,0,5,5
Marya-Seaworth	0,5,0,5
Fogo	4,0,0,4
Leo-Lefford	4,0,0,4
Dobber	0,4,0,4
Mebble	0,4,0,4
Joanna-Lannister	0,0,4,4
Tregar	4,0,0,4
Porther	4,0,0,4
Clement-Piper	4,0,0,4
Trystane-Martell	0,4,0,4
Pate-(Old)	0,0,4,4
Kyra	0,4,0,4
Rossart	0,0,4,4
Captain-Myraham	0,4,0,4
Mad-Huntsman	0,0,4,4
Kurz	0,4,0,4
Jacks	4,0,0,4
Frenken	0,0,4,4
Varly	4,0,0,4
Munda	0,0,4,4
Ulf-son-of-Umar	4,0,0,4
Selwyn-Tarth	0,4,0,4
Hake	0,4,0,4
Euron-Greyjoy	0,4,0,4
Mallador-Locke	0,0,4,4
